mandt,id,prodId,pgId,sizeUOM,height,depth,width,price,taxrate,toPriceCurrency_code,description
001,6db75bc4-ba7b-4089-a7e5-fc555bfc4dbc,sed,7,ADV,49,56,41,62.15,35.57,CNY,Sed accumsan felis.
001,fe3c3382-9eb0-4a90-9f2d-5a4cafae473c,lorem,1,AUS,20,80,74,155.05,5.01,CNY,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
001,1408b998-39b5-44cf-a732-7577dd0bacfb,tempus,7,API,74,85,20,396.73,35.61,CNY,Sed vel enim sit amet nunc viverra dapibus.
001,5c4d2447-ca22-4f93-9b92-636a7afb934b,sodales,2,AUS,93,1,81,529.15,8.97,PLN,Sed accumsan felis.
001,050a65c2-edc3-40e4-8e8d-6b430b21a5b7,sagittis,2,ADV,93,61,74,86.26,32.5,LKR,Etiam faucibus cursus urna.
001,7a39e594-df00-418b-8805-b5bf75c0d313,vestibulum,1,DY,59,31,63,827.62,38.02,USD,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
001,9961490c-2db1-4594-a4fc-97d714545a2e,velit,7,%NT,56,50,100,966.31,18.96,EUR,Quisque porta volutpat erat.
001,2556d90d-2b33-49c2-a239-daf0667474f5,odio,4,DY,19,19,22,955.06,1.52,THB,Duis mattis egestas metus.
001,89a117e1-3bd5-4942-8633-87fd578fec9f,ipsum,7,%,16,22,21,278.44,15.99,IDR,Quisque porta volutpat erat.
001,2788d812-70c2-45c6-b79d-a0be83e034d7,nisi,7,APL,67,33,5,361.82,16.09,IDR,Praesent id massa id nisl venenatis lacinia.
001,7806d4f0-c460-4b93-ac09-8c2a2d0ebdc7,proin,5,%NT,23,95,9,172.29,25.36,RUB,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
001,b41e82d7-cb84-4726-92b8-8bbf23a9586a,massa,6,AUS,5,96,23,849.67,13.3,UAH,Donec vitae nisi.
001,e6cd12ac-00a3-4c8d-94bd-31289a627146,cum,3,APL,66,99,55,662.56,20.23,XAF,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
001,a1de31d6-e0a8-4355-ad7f-890772af1629,tortor,6,AUS,20,28,25,254.19,7.94,CLP,Nam nulla.
001,b17fc0cd-162f-4d97-b220-006321ea1e74,libero,2,AUS,16,98,64,434.64,39.11,PKR,Morbi quis tortor id nulla ultrices aliquet.
001,5ad547f3-d7fa-4c00-9c8f-6f1f206c405e,sapien,4,AUS,31,19,6,534.38,32.87,MGA,Curabitur convallis.
001,40d934a4-1ff3-4c8b-9f3e-ff4848b84dac,non,5,APL,30,48,90,370.26,22.25,BRL,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
001,dc5a5121-2f4d-4451-ba80-86fcfe85947e,ante,5,API,31,76,9,180.36,31.06,PLN,In hac habitasse platea dictumst.
001,0a7aaa30-ca4e-49ce-b4a5-4e1f077d60ba,sodales,5,%,25,33,34,657.81,36.64,LTL,Mauris lacinia sapien quis libero.
001,c0332bf9-a4a9-46af-8262-fe742ba81364,lectus,5,%NT,80,63,77,141.21,16.76,CNY,Morbi quis tortor id nulla ultrices aliquet.
001,78dbdfdd-50c7-4651-9b88-a438eddae204,semper,3,%NT,92,84,84,342.85,8.37,CNY,Quisque porta volutpat erat.
001,84d9ed21-061b-4aad-b399-851f83013f13,etiam,5,API,47,83,14,837.14,13.39,CAD,Cras non velit nec nisi vulputate nonummy.
001,9bb991c3-849c-41fe-86ac-40daac1dc819,vestibulum,6,%,44,87,79,114.09,24.02,RUB,Nulla mollis molestie lorem.
001,0390a10b-3c3d-4e0b-a0f7-f9b7fb12083f,mauris,6,DY,29,67,46,632.31,27.03,VND,Nullam porttitor lacus at turpis.
001,e03f224c-b006-4047-b451-9ab0e9e740b4,nullam,1,%,18,70,30,235.31,7.44,CUP,Donec vitae nisi.
001,cb1db3b4-1d2f-4cc3-a377-8044bb2bb551,mauris,1,APL,7,63,8,799.47,3.09,BRL,"In est risus, auctor sed, tristique in, tempus sit amet, sem."
001,cd0919c1-c952-41c5-a763-770823abb409,lobortis,3,DY,56,57,1,802.5,36.84,AFN,Curabitur gravida nisi at nibh.
001,421d8af5-6cfe-44ee-ab0d-8951cc0f9cdd,quis,4,%,98,82,25,865.68,35.17,NGN,In quis justo.
001,cee72485-1e8f-46bb-82b8-7ddcb52728fa,non,6,API,41,90,97,862.11,29.56,IDR,In hac habitasse platea dictumst.
001,89fe6414-3941-4224-8a16-cbce772ae8fa,accumsan,4,AUS,45,92,20,272.83,30.83,MXN,Donec quis orci eget orci vehicula condimentum.
001,06a8c15a-b4f8-4b4a-b2ae-a88d09f35a39,platea,2,API,19,73,97,216.78,18.68,BRL,Morbi a ipsum.
001,39288a4f-8130-4b41-9f92-454a1b2dfe30,ligula,7,%NT,25,64,62,48.54,7.11,CNY,In congue.
001,c62087f2-a946-42dc-b671-3ff84875c7ba,cursus,4,AUS,92,76,76,195.7,14.21,IDR,Nullam molestie nibh in lectus.
001,4b529e7e-c490-4092-a2ac-49ffb0a10626,nulla,1,AUS,41,84,47,941.76,20.27,ISK,Quisque id justo sit amet sapien dignissim vestibulum.
001,033519fe-87ad-47bb-808d-dd389bf0c5c5,tristique,1,APL,94,78,36,125.38,35.65,BGN,Morbi a ipsum.
001,efe7ef3b-69fe-48a2-b842-1c3b5a81b2e2,eget,4,API,77,98,87,251.43,28.39,JPY,Mauris lacinia sapien quis libero.
001,d4833475-34a3-49fa-8be7-57abf2f571e7,cubilia,3,%,77,88,52,492.55,1.96,ARS,Nulla facilisi.
001,8aca96f1-4551-4a22-9cdd-f9654d7b7bed,nunc,1,API,15,1,54,965.75,3.6,HTG,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
001,5c763d9c-2286-4793-af9b-bcee4620004b,morbi,1,%,70,65,58,960.83,30.07,SEK,Sed accumsan felis.
001,84a4cd71-c40a-4bad-a88f-e6fad81b425a,in,3,%,67,2,49,165.63,36.44,NGN,Cras non velit nec nisi vulputate nonummy.
001,05b706ef-5539-474a-b7d6-d2f5dfd11a73,blandit,7,%,19,59,53,48.18,32.55,PEN,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
001,83e511c9-8dcb-4dd5-b8a3-cda618e368cc,eu,7,ADV,15,57,37,107.46,16.44,TZS,Aliquam quis turpis eget elit sodales scelerisque.
001,321334a5-836a-4a00-b658-14aa17e7d1c3,nullam,5,AUS,66,19,59,361.7,26.28,CLP,Aenean sit amet justo.
001,d198d482-0871-4fa2-8da9-a7c6aed3bd0e,orci,5,DY,77,90,69,145.82,3.2,GTQ,In quis justo.
001,bf58803f-17ff-41fd-b671-806a79b3ea3c,sit,1,ADV,18,40,94,700.18,39.02,EUR,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
001,91392fbf-8337-48ca-8365-e88412a9394a,tortor,2,APL,75,80,21,55.93,16.45,CNY,Nulla nisl.
001,f1314158-68ae-4d25-81c1-676cb1afc640,faucibus,3,API,22,88,16,190.31,26.76,ILS,Cras in purus eu magna vulputate luctus.
001,95c431c8-e40e-4510-96d5-db0afdc5840f,nibh,4,ADV,75,30,28,81.05,36.58,IDR,Nam tristique tortor eu pede.
001,7df47cbc-4cca-44a3-aaf3-612c6534f540,in,7,%,94,41,53,602.79,37.26,EUR,Nunc purus.
001,6936b7d4-3603-4c74-bff6-0125a9884ba9,ipsum,3,ADV,3,36,37,632.77,28.2,IDR,Morbi non quam nec dui luctus rutrum.
001,6026b340-9ed3-41f4-9405-e9e6edc7e97f,at,1,%,23,82,62,182.59,13.74,CNY,Duis mattis egestas metus.
001,593b999c-d24a-4421-999d-403a9e3625c2,eget,3,AUS,52,2,8,799.98,39.52,CNY,Aliquam sit amet diam in magna bibendum imperdiet.
001,3a9c0f36-1b9b-414e-91c7-3f9ea4631d01,massa,5,APL,19,25,96,25.46,19.05,BRL,In eleifend quam a odio.
001,a3ac7f2c-342b-4f1a-b88d-a3d80e821177,nisi,1,%NT,59,38,73,811.92,37.39,IRR,Nullam sit amet turpis elementum ligula vehicula consequat.
001,3e7706d9-f2fb-4b0b-9ee3-c136c253d140,vulputate,4,API,49,29,55,416.08,12.77,CNY,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
001,b30f7716-02ac-41c7-9190-89c7cdf9b2cd,elit,7,%NT,15,38,56,555.34,11.5,IDR,Cras non velit nec nisi vulputate nonummy.
001,4c47d1a8-ebac-4eaf-bae0-bf916ce162bc,neque,6,%,81,1,82,190.69,20.37,UAH,Cras in purus eu magna vulputate luctus.
001,39b31a45-49c7-4573-b34b-3c3df76a2541,etiam,7,APL,67,41,2,971.23,28.94,KZT,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
001,4b07d379-b90d-4bb6-93d2-ae3b7c525d39,tortor,4,API,17,45,77,404.87,19.45,JPY,Etiam pretium iaculis justo.
001,f7e821a6-6820-427a-91c6-f0d07fe24c8f,interdum,7,API,49,26,9,727.51,20.71,COP,Nulla mollis molestie lorem.
001,3656f056-9777-4c49-a373-dbaf768af486,quis,6,API,30,37,36,729.45,24.09,ILS,Vestibulum ac est lacinia nisi venenatis tristique.
001,945c4df8-e76a-4192-a873-afbb9d7d6764,rhoncus,6,AUS,88,31,46,557.79,25.43,PHP,Duis mattis egestas metus.
001,b058a815-8771-4835-9ff4-cdbf87f13ebd,ultrices,5,%,75,32,94,711.75,3.26,JPY,Nam dui.
001,fb9a7cd5-7600-4dd9-98c5-fa4abbc053fd,ut,4,%NT,59,19,25,374.7,9.47,THB,Pellentesque ultrices mattis odio.
001,ab0786f5-cca5-44d0-a8e2-f934f74eb31c,proin,5,ADV,19,98,65,632.96,6.97,ZAR,In blandit ultrices enim.
001,180b0cdc-f3e9-4e51-bc04-e6a33c1aa527,pellentesque,7,DY,77,15,70,364.53,26.09,KZT,In blandit ultrices enim.
001,2a0c776e-cdb3-4ad8-ab20-34c0799eb3b4,sit,2,AUS,54,93,22,850.47,14.62,IDR,Morbi non quam nec dui luctus rutrum.
001,b0be3a41-5ab7-4f3a-95f1-e5831e133f80,gravida,2,%,20,82,8,790.75,3.45,BRL,Donec semper sapien a libero.
001,eb2dc285-dc1c-49ad-9893-55fa28ef717c,accumsan,3,DY,34,93,52,493.24,1.08,IDR,Donec ut dolor.
001,072ac40b-d2f1-4d60-9f1c-904da4b4321b,massa,6,APL,50,6,84,822.42,5.29,SEK,Integer non velit.
001,28647be1-fc4f-4983-9b54-95f218a78cfb,eros,2,%NT,19,17,20,37.36,3.34,PLN,Phasellus id sapien in sapien iaculis congue.
001,0351f85f-b137-4fb9-9f38-61ddf3d73ddd,montes,1,AUS,41,91,5,368.3,31.39,PAB,Mauris lacinia sapien quis libero.
001,67138b8e-b41a-4f9a-a425-aeeca80f3d21,vestibulum,4,%NT,82,12,49,41.65,39.52,CZK,Maecenas pulvinar lobortis est.
001,9df329c2-4385-4867-a8c0-fabc7d961bbe,at,1,API,39,87,91,207.12,30.15,CNY,Pellentesque viverra pede ac diam.
001,0d7f9a13-5912-4a06-b91c-147144946f40,eu,6,API,31,72,58,861.33,7.57,USD,Aenean lectus.
001,b323aa4b-1b6f-4011-81ae-89e4a351554f,hac,1,API,58,77,78,536.36,39.49,EUR,Suspendisse accumsan tortor quis turpis.
001,9933ec8d-6104-4685-972d-7a7d21fae0f2,convallis,4,%,17,30,77,100.37,33.88,ARS,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
001,ae422485-0f74-4604-930b-9681497d8534,dui,7,%,92,41,33,786.96,14.06,IDR,Nulla suscipit ligula in lacus.
001,94688958-587b-4f17-a3eb-4c5462909599,imperdiet,2,ADV,73,16,79,90.48,13.99,HRK,Nullam molestie nibh in lectus.
001,18afde77-296b-44a2-a23a-48f7d820e37b,erat,5,API,88,24,10,524.32,21.89,EUR,Nulla tellus.
001,b1ff8404-7a59-4186-9de8-866d9b2e7933,interdum,3,API,75,79,31,249.27,37.04,PHP,Sed sagittis.
001,bddfde31-35e1-4180-a3bb-3aa6501ac546,ligula,4,AUS,6,38,74,58.19,34.14,EUR,Duis mattis egestas metus.
001,e69aeb72-5952-44bc-9e22-6a845fa03dce,eu,1,APL,40,76,70,78.29,20.18,GTQ,Aliquam non mauris.
001,9b37726c-d934-4d67-b758-7bcfb356d4da,leo,7,AUS,94,17,45,70.46,8.67,PLN,Nunc purus.
001,df79ae52-258c-4563-92de-d2c5a0542384,eget,1,API,77,85,84,40.21,23.24,XOF,Curabitur convallis.
001,f0904f6f-0f47-454e-a7ac-6b57f6642415,lacus,4,APL,32,11,34,172.42,23.21,IDR,Aliquam erat volutpat.
001,95039364-17d5-4294-aebd-2f0768de4e6e,quam,6,API,84,99,85,627.46,26.71,RUB,Aenean fermentum.
001,957c67e7-da30-4978-8087-9173626cf312,facilisi,5,DY,59,84,42,268.83,33.86,LRD,Aliquam erat volutpat.
001,8bc224fe-eb70-4154-af3c-03d85fcbfd0c,accumsan,6,ADV,23,41,38,126.8,7.93,EUR,Duis at velit eu est congue elementum.
001,92d5a454-ceed-4dd6-9a02-251684b2d45b,lectus,3,%,16,1,66,57.14,28.77,THB,Aliquam sit amet diam in magna bibendum imperdiet.
001,785098f4-f0a4-4d35-8c9b-180fd0186cba,lobortis,6,%NT,69,80,42,933.83,35.71,USD,Nulla tellus.
001,83afb6ee-89bf-4cd2-a2e7-d201161a9e87,lorem,1,DY,7,11,78,186.98,22.2,NGN,Donec dapibus.
001,ce71f4f2-fe2a-489c-8eee-a2d709f70234,natoque,7,%,87,3,25,175.94,29.78,RUB,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
001,b1e08bfa-90eb-46f9-98de-6b19ee513790,neque,7,ADV,25,62,78,424.26,30.13,EUR,In hac habitasse platea dictumst.
001,9a30aa7d-8c12-4f5b-ae29-e19cda40caf8,nulla,3,ADV,86,85,45,546.91,31.05,SEK,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
001,fc2f5a53-b2b5-4d9c-8dbb-8c52de35e5ac,scelerisque,4,ADV,73,55,65,929.44,29.5,CNY,Proin eu mi.
001,d779c039-280e-4998-836d-0400fe50da18,eget,3,DY,33,11,94,320.63,3.78,RUB,Morbi vel lectus in quam fringilla rhoncus.
001,6c7c71ad-af5c-46d1-993d-be58020dd5b5,platea,3,API,30,33,1,971.97,33.21,SEK,Donec vitae nisi.
001,a54c57c7-15ec-45a6-a8be-20aab6f663a1,in,5,ADV,9,79,32,422.22,17.08,PLN,Nulla ut erat id mauris vulputate elementum.
001,6a2e9146-8800-4260-9daf-f1d0ecf45f60,consectetuer,4,%NT,58,86,81,420.28,30.57,SEK,Maecenas tincidunt lacus at velit.
001,957fdf2d-be24-4b33-a6e6-ac652fc8764f,orci,6,AUS,91,80,64,340.42,27.85,CNY,Nulla mollis molestie lorem.
001,9b80c3f4-0f16-4a0c-a060-c57eb31cae08,morbi,4,APL,30,7,66,667.01,30.15,CNY,Morbi quis tortor id nulla ultrices aliquet.
001,80910cf8-0503-45b8-b175-69011f43a358,volutpat,3,AUS,100,71,32,564.19,10.55,KWD,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.
001,9f6ce9fc-733f-415c-8442-54cabc7b1e0c,neque,7,API,83,50,26,31.02,16.62,PLN,Praesent blandit lacinia erat.
001,c67c294a-130a-4001-9a1e-a46756526bc3,in,2,AUS,79,15,51,930.95,5.75,NGN,Fusce consequat.
001,11ca5150-051b-4f7e-b310-90d3729cdf20,in,6,DY,55,81,64,559.93,22.75,BRL,Praesent id massa id nisl venenatis lacinia.
001,43040f9f-b818-49c1-83c8-fc678aa629b5,ligula,1,API,16,2,26,327.07,35.33,CNY,Nulla ac enim.
001,6de6948b-0fb7-4e8a-b607-ab3383deec6d,pellentesque,3,DY,48,94,53,144.3,3.4,PEN,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
001,e2941a87-3034-4c97-956e-c6f28e36faa4,pellentesque,6,DY,93,87,26,992.95,18.94,MYR,Aenean fermentum.
001,c005575a-b896-495a-bb5f-1cf02ed3ab0c,sodales,4,%NT,45,49,94,385.85,6.01,TJS,Duis consequat dui nec nisi volutpat eleifend.
001,10619a04-afd7-4ea0-959e-103f49dd74fa,ipsum,7,API,6,75,73,349.91,36.82,BRL,Donec ut mauris eget massa tempor convallis.
001,df6abd75-8360-4dbf-9d02-96a18c6e3e5c,cubilia,2,AUS,31,52,52,809.49,30.82,JPY,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
001,ec5a630d-2b41-4adc-b277-ea86421ab7fd,nascetur,1,%NT,21,94,43,308.62,10.2,CZK,Quisque ut erat.
001,f44b752c-6cb2-458c-8e36-b215e6675430,elit,6,APL,37,44,90,759.55,37.23,SEK,Nunc nisl.
001,647cdc27-1808-4f58-88ee-92954cc2d8b3,luctus,7,APL,49,92,3,974.34,11.37,COP,Donec posuere metus vitae ipsum.
001,c5dabd1b-0ee4-48cc-8aa6-513000222adf,sollicitudin,1,DY,70,46,49,487.82,8.56,EUR,Duis at velit eu est congue elementum.
001,0af2e841-998a-4929-8308-54ce2cf2a0c0,a,7,ADV,50,42,27,492.39,24.02,IDR,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
001,3f21daf0-3250-468c-951f-640314a67112,morbi,5,DY,43,6,10,992.89,25.38,CNY,Donec posuere metus vitae ipsum.
001,f449372e-1067-4e09-977d-2302b249b566,arcu,3,%,20,95,7,170.41,28.58,PLN,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
001,88f56189-1528-4e32-a8de-2008ec594a0b,vitae,6,AUS,28,42,64,876.4,5.01,BHD,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
001,28c8e66e-d4ff-46a7-a273-9ecbad47046b,eget,1,%NT,5,41,86,599.13,7.03,CNY,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
001,de16bece-f9ac-4e37-ab26-768a2822f617,consequat,7,AUS,58,20,3,885.38,2.35,MXN,Morbi quis tortor id nulla ultrices aliquet.
001,43be6281-61da-4158-87cb-a709329d8843,congue,7,%,83,45,19,582.97,9.97,GTQ,Nulla ut erat id mauris vulputate elementum.
001,a0ade85c-c346-4d6e-b609-3567b5b1d1a5,primis,3,API,53,85,97,744.27,13.6,IDR,"In est risus, auctor sed, tristique in, tempus sit amet, sem."
001,042be338-80a6-4371-88f2-e33c261872a8,gravida,6,%,62,2,24,352.64,37.62,CNY,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
