mandt,id,prodUUID,description,toCountry_code,status
001,c7947f3e-abad-43c7-8514-2707ae833684,6db75bc4-ba7b-4089-a7e5-fc555bfc4dbc,Curabitur in libero ut massa volutpat convallis.,PE,TUTT
001,2af807a2-d4f9-451a-8baf-7f0b45f94fd1,fe3c3382-9eb0-4a90-9f2d-5a4cafae473c,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",RU,NTGR
001,4db933ad-890f-4252-8927-1f9d8d1bc441,1408b998-39b5-44cf-a732-7577dd0bacfb,Sed vel enim sit amet nunc viverra dapibus.,PH,BSTG
001,1f002983-ef92-4eb7-ad9e-c1695d2000ff,5c4d2447-ca22-4f93-9b92-636a7afb934b,Ut at dolor quis odio consequat varius.,PL,SNE
001,ac4f0c47-1b72-4bd3-9db6-d6fdbfc819e7,050a65c2-edc3-40e4-8e8d-6b430b21a5b7,Duis mattis egestas metus.,BD,RJF
001,c86279b0-c33c-4f0e-97c7-48060c350891,7a39e594-df00-418b-8805-b5bf75c0d313,Duis consequat dui nec nisi volutpat eleifend.,ID,FSAM
001,7bd23fa3-faa2-4900-b3a7-ebe2695a9816,9961490c-2db1-4594-a4fc-97d714545a2e,Fusce consequat.,XK,CHY
001,fd55003f-8bac-433c-84e4-5eb226f85dea,2556d90d-2b33-49c2-a239-daf0667474f5,In hac habitasse platea dictumst.,CN,RWLK
001,4c11f1cc-271a-4b3a-a8e6-b11ed39c6dbc,89a117e1-3bd5-4942-8633-87fd578fec9f,Maecenas ut massa quis augue luctus tincidunt.,CN,BBK
001,73edab5c-273b-4c7f-9e3b-f50249aa23b2,2788d812-70c2-45c6-b79d-a0be83e034d7,Praesent id massa id nisl venenatis lacinia.,MY,GPC
001,9fccd851-117c-454e-bc41-45b486181a3b,7806d4f0-c460-4b93-ac09-8c2a2d0ebdc7,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",ID,MYD
001,0e762c28-4862-4b24-9139-2bc26328eef4,b41e82d7-cb84-4726-92b8-8bbf23a9586a,Curabitur gravida nisi at nibh.,KM,AJG
001,b9cf52cc-d22d-4930-ac73-1bfe575f23e7,e6cd12ac-00a3-4c8d-94bd-31289a627146,Pellentesque viverra pede ac diam.,FR,CAI
001,766cac1a-d3c3-403e-91dc-c91ad559e0a0,a1de31d6-e0a8-4355-ad7f-890772af1629,Nulla justo.,PT,SHBI
001,391b7173-1f23-4ac3-910c-8c0befbdb24a,b17fc0cd-162f-4d97-b220-006321ea1e74,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",ID,KND
001,dd25d788-953f-4d63-a4b4-da4af0e493da,5ad547f3-d7fa-4c00-9c8f-6f1f206c405e,Morbi ut odio.,ID,ISTR
001,02e677c6-fc63-4580-8162-0d953055aac9,40d934a4-1ff3-4c8b-9f3e-ff4848b84dac,Quisque porta volutpat erat.,CN,ARTW
001,c62ae685-5452-4055-a48b-d8e67e2ce0a1,dc5a5121-2f4d-4451-ba80-86fcfe85947e,Nunc nisl.,PE,AVXL
001,a3337f25-815e-48a9-ae2b-5c53f37ef9ad,0a7aaa30-ca4e-49ce-b4a5-4e1f077d60ba,Ut tellus.,PT,BLK
001,b231fb68-fa56-4654-ad99-ab9f3c9a5b0c,c0332bf9-a4a9-46af-8262-fe742ba81364,Donec posuere metus vitae ipsum.,BG,REG^G
001,629fa4f0-29c9-4eb9-bc0c-2f260722875a,78dbdfdd-50c7-4651-9b88-a438eddae204,Vivamus vel nulla eget eros elementum pellentesque.,CN,RPRX
001,1c21cc44-c39b-45be-a6c5-5d264fc2071b,84d9ed21-061b-4aad-b399-851f83013f13,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",BF,NNN^E
001,7d29ea50-6af2-4fcb-b041-05929667df51,9bb991c3-849c-41fe-86ac-40daac1dc819,Curabitur convallis.,BR,SMCP
001,1a3512b0-199b-49a0-9a37-2a866e51d2aa,0390a10b-3c3d-4e0b-a0f7-f9b7fb12083f,Nunc nisl.,HN,SNHNL
001,ec1eab19-f08a-4879-9ca4-818c114bca00,e03f224c-b006-4047-b451-9ab0e9e740b4,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",PH,CLX
001,acb05275-2045-44c3-b7c0-667c41d3095e,cb1db3b4-1d2f-4cc3-a377-8044bb2bb551,Donec ut dolor.,BF,COR^A
001,6d12f768-dfe4-4fb6-a3bf-f3656b6c65fa,cd0919c1-c952-41c5-a763-770823abb409,Sed accumsan felis.,US,ZNGA
001,d77e4496-d899-4a5b-afae-2926bba2e917,421d8af5-6cfe-44ee-ab0d-8951cc0f9cdd,Cras pellentesque volutpat dui.,KR,BQH
001,555ca2e2-6191-40bb-a49d-f6243dd7008a,cee72485-1e8f-46bb-82b8-7ddcb52728fa,Phasellus sit amet erat.,CZ,XPO
001,d13dfeb5-c41c-45d5-b7be-c565f4930310,89fe6414-3941-4224-8a16-cbce772ae8fa,Duis mattis egestas metus.,ID,ATTO
001,a143381f-e6a6-428f-a3b6-979fe7b51736,06a8c15a-b4f8-4b4a-b2ae-a88d09f35a39,Etiam vel augue.,JP,TWIN
001,e9bd2e9b-8a63-4e0c-8153-cbd146527f11,39288a4f-8130-4b41-9f92-454a1b2dfe30,Nullam porttitor lacus at turpis.,CO,XRX
001,619530fc-ead7-4e0a-83de-5aa4ff124fca,c62087f2-a946-42dc-b671-3ff84875c7ba,Mauris sit amet eros.,AR,AAT
001,0ab004c2-4a7f-482d-8bfc-2a72b0ec264f,4b529e7e-c490-4092-a2ac-49ffb0a10626,Sed accumsan felis.,CN,KOOL
001,a22fdf88-892a-441c-91bf-48506edaa0e5,033519fe-87ad-47bb-808d-dd389bf0c5c5,Praesent blandit.,CN,HBAN
001,9ad6633e-c045-4f9e-9d80-c2537f7dd64c,efe7ef3b-69fe-48a2-b842-1c3b5a81b2e2,Aliquam sit amet diam in magna bibendum imperdiet.,TH,ATGE
001,1e70b2d1-3274-49f8-822b-dee30d2058e4,d4833475-34a3-49fa-8be7-57abf2f571e7,Sed ante.,CN,ASX
001,9067494f-ee4d-419f-aafe-a9cfa56ec6f7,8aca96f1-4551-4a22-9cdd-f9654d7b7bed,Integer ac leo.,ID,GTY
001,1b43a391-3e86-4c6f-9d53-235ba8772c69,5c763d9c-2286-4793-af9b-bcee4620004b,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",CZ,PDCO
001,6b89c416-bbfd-4d9e-a1fa-836a2251d4a1,84a4cd71-c40a-4bad-a88f-e6fad81b425a,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",ZA,XHR
001,2917c035-e0f8-46c8-bed6-c25a4f72e2ad,05b706ef-5539-474a-b7d6-d2f5dfd11a73,Vestibulum rutrum rutrum neque.,CN,VMC
001,fe200084-d15f-43e2-b5f4-d1a994201196,83e511c9-8dcb-4dd5-b8a3-cda618e368cc,Vivamus vestibulum sagittis sapien.,CN,RESN
001,af60d7af-7010-4fae-bc22-0d6bbf82ad15,321334a5-836a-4a00-b658-14aa17e7d1c3,Aliquam non mauris.,CN,TCBI
001,efafe4e6-ce15-4f9f-afd5-941d971b458e,d198d482-0871-4fa2-8da9-a7c6aed3bd0e,Praesent blandit lacinia erat.,RU,PRE^I
001,78df304f-c32f-4462-ab2c-067dbbaf6367,bf58803f-17ff-41fd-b671-806a79b3ea3c,Duis at velit eu est congue elementum.,PL,GRBK
001,97914eaf-9bf5-4a3e-9161-44a77b08ecf7,91392fbf-8337-48ca-8365-e88412a9394a,Fusce consequat.,ID,BLRX
001,cd7ce699-282e-425f-a053-31e8d473ab76,f1314158-68ae-4d25-81c1-676cb1afc640,Donec ut mauris eget massa tempor convallis.,CZ,PSCI
001,e9ea9078-7189-4eed-b7b6-63b9ec005146,95c431c8-e40e-4510-96d5-db0afdc5840f,Quisque porta volutpat erat.,PL,DVAX
001,325ac6bb-d5d0-42bb-af59-8495b22068db,7df47cbc-4cca-44a3-aaf3-612c6534f540,Nulla mollis molestie lorem.,VN,WF
001,2fdb46e9-40ba-40d5-9e99-f984f4ec800e,6936b7d4-3603-4c74-bff6-0125a9884ba9,Vestibulum sed magna at nunc commodo placerat.,RU,PCYG
001,5f7c29a5-77b1-41c3-a3c2-7fb6037514e2,6026b340-9ed3-41f4-9405-e9e6edc7e97f,Nulla ut erat id mauris vulputate elementum.,RU,ROLL
001,f36232db-2232-4ef9-ab2b-0641e5638bc6,593b999c-d24a-4421-999d-403a9e3625c2,Nulla mollis molestie lorem.,CZ,GLRE
001,d152bed3-62dd-462d-853e-6abfeae22dd2,3a9c0f36-1b9b-414e-91c7-3f9ea4631d01,Vestibulum ac est lacinia nisi venenatis tristique.,PT,KTOS
001,05e528ce-63a8-46bd-918c-75b383940a17,a3ac7f2c-342b-4f1a-b88d-a3d80e821177,Pellentesque at nulla.,RU,MPO
001,1aeb0b10-8d78-4503-ab96-ee5f90a187de,3e7706d9-f2fb-4b0b-9ee3-c136c253d140,Sed vel enim sit amet nunc viverra dapibus.,PT,PYDS
001,38d02565-de89-4c4b-9dda-2d3e30efb7c2,b30f7716-02ac-41c7-9190-89c7cdf9b2cd,Vivamus tortor.,CN,REG
001,66dd1d03-5d8a-4d88-a225-fa511eb1a936,2cbf23c3-a0be-4a2d-95d5-63a7e833a6cc,Maecenas ut massa quis augue luctus tincidunt.,KM,PJT
001,5d6e8054-b989-43a5-b0bf-8336abad01e9,7e0264b2-b739-4186-aa85-206d87c3bec2,Nulla mollis molestie lorem.,CN,KCG
001,03c31016-6138-496e-9ad4-cbc3b7119c2b,ac25df3e-9e6a-4e5d-affd-92a1bdf20417,Nunc nisl.,GB,STE
001,70eee75c-a4ff-4e16-a7ab-5178df8fc230,d872fa57-cf3d-4647-ad86-fba531c2d8a8,Quisque ut erat.,JP,FMBH
001,3ad2675d-2fbb-480b-9c4b-deeb48d9f505,0dcdb458-fa81-470c-96d5-91a34802cf8b,Suspendisse potenti.,VN,AGD
001,af152247-9a02-411a-8d30-802208b12a2c,3459db71-cd6f-42a5-833c-4f37ccb971f1,Donec semper sapien a libero.,ML,CPTAL
001,9f78dcf5-5652-49b6-804b-68f48fb42f42,2ee275f9-1616-43c0-8449-05cd260f7838,Nam dui.,UA,INO
001,b77be42c-c6f3-4d90-9ea0-cd8a0e4baf8c,026cd974-1ebe-42d1-8f02-ffe1e6f82cd3,In hac habitasse platea dictumst.,ID,LPI
001,ca9963ce-479b-4c1f-b394-2e2fe60f385c,85eed4c8-b3ba-4d1f-8a18-ba22762c40da,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",CN,AMSF
001,c7bd0d2a-2907-40ca-8d0a-f926ce4f8105,c0a21ea7-58fb-4007-a91a-4d4d66248ed2,Etiam faucibus cursus urna.,IR,JTD
001,00df39ad-a043-4265-8011-8bd4012291d0,9ce8ea31-1061-4ba3-ad9b-d7fa98c42e98,Donec quis orci eget orci vehicula condimentum.,PL,GDL^B
001,99640be7-abd2-4a40-84d3-0b4552c61610,77cd4b84-75c8-43f8-b40f-cba6230eaaf6,Aliquam sit amet diam in magna bibendum imperdiet.,CN,ICBK
001,75ad97f6-76a2-43ae-a9f5-7f1f1f63a6e8,369d5b33-1c56-475b-b7ee-ab281a460bb3,Praesent blandit.,CN,CATY
001,c5ed394e-7230-47c1-8323-adb0d47c69d7,79b7c24b-753d-4cb9-b477-7a2e6730f0e4,Cras non velit nec nisi vulputate nonummy.,GT,WMK
001,d083c9c9-5241-4e62-ad90-dc5cf67a408d,c242adee-0722-45a6-8d45-a3299c49a722,Vestibulum sed magna at nunc commodo placerat.,CN,PSCU
001,cb6b583d-e630-48d4-ad2f-c19bf696cd2d,700e7eb5-7c42-469c-8640-c1af17b31d1c,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",CN,OXM
001,3c49ceb4-4b2c-45d1-a5ed-f21ad827833d,85017a49-5d67-48ea-852d-1bc9031fee1e,Suspendisse accumsan tortor quis turpis.,PT,RIGL
001,0797273f-38bc-4729-8e3f-e03405a4394b,679e2f9e-a799-4100-bb70-8c9ba8c70c85,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",CN,WSBF
001,3606a32c-0a03-45e5-ac7c-19599e6fe6e3,ab2e73ad-15a6-4ca8-b558-1badc8a20d07,Etiam justo.,RU,CNC
001,c0429b19-49a9-4c78-a0e6-2f05ff7e6cdd,8d001341-eb77-46f9-bdb9-98a7e8bdbdf0,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",BR,NXTDW
001,461dd2ae-2285-4374-81da-92a557f35d2a,5ab863ff-9e90-4a2d-8a79-dcdac05d953b,Proin eu mi.,RU,FTXL
001,3c54343b-4d77-4586-8b26-fdf2096b8a86,eb04e642-45e5-4bd5-9ebb-d051accd9d81,Proin eu mi.,PL,MS^F
001,cbeb0ef5-f0ef-47c0-b3c2-283e3774a233,c5c47335-9609-4474-8cb5-198db4fe311c,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",PT,QGEN
001,288e6f15-8146-4e40-80b7-766a6613dbe0,00074152-078f-482c-a34c-9222a83ed5ac,Cras in purus eu magna vulputate luctus.,MA,EGN
001,78e8397a-9b86-41b7-b99a-776d878df436,92f1bed1-2e8b-4ba3-807c-660aca6a4a80,Maecenas rhoncus aliquam lacus.,RU,IMMR
001,5dc4273c-6e91-4ed4-887e-a7e9229726a5,8484f92e-17d1-4403-83e8-9e0a7bba0e04,Pellentesque at nulla.,FR,CVV
001,4ef32da3-c9da-47b4-8841-1e7fb0f91664,cecf16ac-e171-44f3-8794-12865cc01c67,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",NP,QTNT
001,8bfe71c2-21ab-424c-81f0-67d91b62b1fd,e271943b-d202-405d-9278-f517368a091c,Donec dapibus.,BA,BIS
001,86c2ab73-f51f-4d86-ad3f-4beb5e6dedc6,1452c675-58a2-404d-a8ff-2a002d11d0dc,Etiam vel augue.,ID,FCN
001,229fc05f-0d4d-4037-96dd-c2b62a3245fb,b2a64364-453d-409e-81b9-a9726802e743,Duis ac nibh.,CN,SRC
001,110635c6-f804-4cb7-8316-a5728df34f08,cead968d-887c-46cc-a7f0-7fcc15f53730,Quisque ut erat.,AM,NCS
001,6860bdd2-31f2-4a2a-987e-5b0f50118c8f,abc39f71-194c-4d26-8e8d-f44856068d99,Aliquam non mauris.,PH,KKR
001,c3f62d3e-c6ab-4fdb-a95c-665abc56178f,0eff1bc5-7b5c-422f-946d-322c1cad40aa,Morbi non lectus.,IR,ECCA
001,cc3a2774-eee8-4cff-8fdf-86ff0e20ab46,ff438a0d-0959-4cb8-a85b-bef556a86399,Duis mattis egestas metus.,JP,BSBR
001,fed8f003-6deb-4741-a2b8-6173bf01a6fc,cfa1de5e-a830-4fc7-8d20-cf3f93f569aa,Nunc nisl.,BR,WTFCW
001,7a1100db-fa82-477c-ae90-c7714bca3007,cbbd0e7d-f321-4322-9882-d433be62d323,Proin interdum mauris non ligula pellentesque ultrices.,PL,TER
001,0dcfa4eb-d96a-4c02-9b9b-9be15b656299,a670f0b1-6191-4a9f-a5f4-9ec166bc11c2,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",CZ,TLND
001,91a51711-fe0e-4624-95e1-c8f4b198738a,d80db47e-5409-44fa-aa7b-7b3984bace20,Integer non velit.,KE,VSDA
001,d5580be5-71d5-44f3-8dda-6d50f9d90b4f,b8538ff3-5f55-4ace-9164-4cbff0506dfb,Donec semper sapien a libero.,VN,GRX^B
001,cb4d28e2-fb52-4cd2-ba56-9baa4dce448e,5a665684-8bd9-432a-87a3-a69fa58bd80b,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",JP,IFEU
001,c4acb241-593d-4b64-a7ea-5917513300ff,106a9d6c-fe8e-43c7-9bcd-fd114879180f,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",TJ,ARAY
001,0d794462-7b37-4964-975c-f2eb7b7f1be0,513c5d63-0a87-426b-8474-4b49184b647b,Nam tristique tortor eu pede.,RU,PB
001,81176634-a159-4354-ac68-a8e29e21bb15,e2d53cd3-0275-4fc6-ae4a-eded3c632336,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",MK,INGR
001,6fe29dd7-22c1-4d68-8d2e-5a465d0acb8d,d1ba5f63-d1ef-44cb-8cef-92b3b1e72f81,Morbi quis tortor id nulla ultrices aliquet.,BR,COHU
001,1ede1c4c-c656-49bb-b3ed-9c31701e2858,2f020a3e-2522-4787-9f12-a2a1dddd4de6,Maecenas rhoncus aliquam lacus.,CN,AMH^B
001,446b2049-ec9d-4568-babe-82d6220c1573,5e2c36b0-3bcd-4cba-bdf7-4c556928cf42,Curabitur convallis.,ET,WTW
001,8edaabc0-78e1-44da-bffe-ed59c3c5e788,6435e07f-f22e-4825-8508-2ec07d78968e,In hac habitasse platea dictumst.,RU,BCEI
001,84043c76-c331-42f2-bf36-4a6de35b1846,60113464-7843-4a40-8a05-83b746dc90b8,Curabitur convallis.,PH,DDE
001,5bf117a4-da1a-4687-9fcb-adba644953fd,ba64c0d7-1551-4953-930e-ebca836b9a61,Duis bibendum.,CN,KNL
001,b0991d22-a78c-4ccf-b9f9-4eec3ddb0bfa,f028234d-2b7b-4ca2-8bf9-dc7ad5777dda,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",CO,DSU
001,9bf37e5d-ad97-49eb-b9d5-068aa17d1f3d,1056467f-7c1f-4022-ad33-1e453800a74f,Mauris lacinia sapien quis libero.,TH,DFP
001,1ae503e8-2ecc-412c-978b-4edb7500e065,9d9619f4-9f87-49fc-9d46-c2df4335553e,Donec vitae nisi.,GM,CDTX
001,a8438ab4-d38f-4d56-945b-6f88cc4c027f,6f997def-72dc-4d43-ae81-b4e12ee8b2b0,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",MW,JRS
